"","ctrl_g1","taz_g1","ctrl_g2","taz_g2","ctrl_g3","taz_g3","ctrl_g4","taz_g4","ctrl_g5","taz_g5","ctrl_g6","taz_g6","ctrl_g7","taz_g7","ctrl_g8","taz_g8"
"POT1-AS1",0.988054522381008,1.90922712950872,0,0.927931493073419,0.977352433354944,0.984725274573314,0.978264872244716,0.9664601596596,0,0,0,1.00848856685335,0,0,0,0
"POU2F1",29.6416356714302,42.9576104139462,19.6891809857132,27.8379447922026,33.2299827340681,36.4348351592126,33.2610056563203,32.8596454284264,32.7451263629477,47.7229452978177,29.7719770995826,28.2376798718939,44.5762120066829,51.9760082447846,28.8674593878314,41.2060329325548
"POU2F2",124.494869820007,70.6414037918227,119.119544963565,49.1803691328912,90.8937763020098,59.0835164743988,107.609135946919,60.8869900585548,89.8152037383709,52.3116900379925,112.141113741761,46.3904740752542,101.888484586704,51.9760082447846,95.881204395297,63.86935104546
"POU2F3",1.97610904476202,0,0.984459049285661,0,0,0,0,0,0,0,0,0,0,0,0,0
"POU3F2",0.988054522381008,0,0.984459049285661,0.927931493073419,0,0,1.95652974448943,0,2.80672511682409,0,0.992399236652753,0,6.36803028666898,2.12146972427692,4.12392276969019,0
"POU4F3",0,0,0,0,0,0,0,0,0,0,0,0,1.0613383811115,0,0,0
"POU5F1B",0,0,0,0,0,0,0,0,0,0,0.992399236652753,0,0,0,0,0
"POU5F1P4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03015082331387
"POU5F1P5",0.988054522381008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POU5F2",0,0,0,0,0,0,0,0,0,0,0,0,0,1.06073486213846,0,0
"POU6F1",0.988054522381008,8.59152208278925,5.90675429571397,2.78379447922026,0.977352433354944,4.92362637286657,4.89132436122358,0.9664601596596,2.80672511682409,3.67099579213982,3.96959694661101,1.00848856685335,4.24535352444599,3.18220458641538,3.09294207726765,2.06030164662774
"PPA1",144.255960267627,152.738170360698,144.715480244992,151.252833370967,136.829340669692,137.861538440264,120.3265792861,135.304422352344,126.302630257084,163.359312750222,122.065106108289,141.188399359469,153.894065261167,141.077736664415,94.8502237028745,171.005036670102
"PPA2",23.7133085371442,37.2299290254201,34.4560667249981,38.0451912160102,33.2299827340681,33.4806593354927,34.2392705285651,36.7254860670648,35.5518514797718,54.1471879340624,25.8023801529716,32.2716341393073,21.2267676222299,35.0042504505692,32.9913821575216,46.3567870491242
"PPAN",5.92832713428605,9.54613564754361,6.89121334499963,3.71172597229367,5.86411460012967,1.96945054914663,5.8695892334683,4.832300798298,5.61345023364818,2.75324684410487,8.93159312987477,6.05093140112012,8.49070704889198,4.24293944855384,6.18588415453529,7.21105576319709
