"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"GAPDHP62",1.67132137856838,-1.02160606470794,0.70876935143698,-1.44138013676339,0.149477318746054,0.331593067384549
"GAPDHP71",0.124788186435842,0.702810328053916,2.60055057424277,0.270254435739463,0.786964516472108,NA
"GAPDHP72",0.0596633477971475,0.342134923746383,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GAPLINC",0.183280528687139,-1.10054317022517,2.33088651168008,-0.472156479824456,0.636815100865346,NA
"GAPVD1",86.3532898608759,0.206138513568784,0.126176033382206,1.63373747012921,0.102313986990043,0.255886377986631
"GAR1",30.645651768264,-0.293034246773853,0.165070096915608,-1.77521096945661,0.0758630591658884,0.206996514773706
"GAREM1",3.18946606540354,-1.46322139054695,0.557593315263605,-2.62417312132805,0.00868596228611046,0.03961346848723
"GAREM2",0.438619887253033,0.354103153993353,1.45889710514132,0.242719759156045,0.80822249951317,0.904866478677067
"GARNL3",2.69428853268784,-0.293063440128547,0.601415788846126,-0.487289235772837,0.626053374832182,0.792879059675216
"GARRE1",27.1090369103233,-0.718907054023345,0.18472852733598,-3.89169482586635,9.95464069370225e-05,0.000958712724130464
"GARS1",263.602677345631,-1.13441288604267,0.180864333575969,-6.2721757441811,3.56037377269435e-10,1.19062330644463e-08
"GARS1-DT",5.28062993788991,-0.381536516801014,0.426819788383131,-0.893905407353166,0.371372504370895,0.591112239437926
"GART",156.492301518008,-0.264053138594517,0.102445395795762,-2.57750127805589,0.00995175135037714,0.0441529428518331
"GAS2L1",30.4484317285246,0.491936653907483,0.201651517487885,2.43953856651259,0.0147060328432863,0.0603460448844254
"GAS2L2",0.0615286905803538,-0.379204151480189,3.06038250977364,-0.123907436495001,0.901388564855365,NA
"GAS2L3",55.8766774537059,-0.646784757382591,0.175302623376478,-3.68953267740646,0.000224666370428505,0.00192702094487441
"GAS5",34.3698507351158,-1.17184424794083,0.205017878952172,-5.71581490321732,1.09179530577335e-08,2.67702036281318e-07
"GAS5-AS1",0.251144437628989,-1.46899910666485,1.8924635457034,-0.776236408886198,0.437609412304328,NA
"GAS6",169.735938634176,-0.0810378389628518,0.101320101295809,-0.799819956024891,0.423815119116494,0.639183166119738
"GAS6-AS1",0.127878978480301,-0.0185309847352533,2.57995586602853,-0.00718267509117475,0.994269103716472,NA
"GAS6-DT",8.00809118619755,-0.0220220518544999,0.306017233117678,-0.0719634369285059,0.942631005482484,0.975964868254694
"GAS7",0.0662959288836538,0.342134923746382,3.06038250977364,0.111794823899869,0.910986091726001,NA
"GAS8",13.9104178182939,0.126959027013197,0.24909664749623,0.50967778285783,0.610277220436256,0.783203577039819
"GASAL1",3.65261701434774,-1.20074298621948,0.484536008367652,-2.47812952078556,0.0132073191720777,0.0553415384873472
"GASK1A",0.125468953541801,-0.0185310698272507,2.59595405355369,-0.00713844291730931,0.99430439498032,NA
"GASK1B",0.494471840065305,2.4308612188298,1.23319596190071,1.97118811116049,0.0487023632801381,0.149931543389919
