"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"FRS2",33.0148412752511,0.06649454205474,0.15323095007643,0.618497581175923,0.788426810187781
"FRS3",6.65701065714431,-0.349242068768914,0.318242173981695,0.07619110497088,0.207736769113138
"FRY",1.84765682451512,-0.16213142219426,0.338090933008567,0.187842019056894,0.385955025755824
"FRYL",62.1749463034377,0.307783345206461,0.123412313135678,0.0066083503816697,0.031678993643113
"FRZB",0.244922582470469,0.0288181399787201,0.309137411956152,0.712260096115367,NA
"FSCN1",27.6608910008426,-0.540106141937372,0.235194290209769,0.00420036669380861,0.02205550093707
"FSCN1P1",0.0615453296608321,0.0159219993426226,0.31002086217451,0.910986091726001,NA
"FSCN2",0.489230934445059,0.0345590812806539,0.305197731005625,0.619425680414153,0.78872038238028
"FSCN3",0.062024952290797,-0.016887091081648,0.310113002933543,0.901388564855365,NA
"FSD1L",11.5375104187431,-0.213507148838791,0.261521897085278,0.215381686848701,0.421886669031231
"FSIP1",0.910274309782137,0.0145486286188961,0.297626583922284,0.864191957616102,0.930551277076519
"FSIP2",0.437433435591996,0.0494341547261003,0.309795571481291,0.469102603691962,0.675612903075659
"FST",49.5804516816337,0.550046055870074,0.204065689224385,0.00144121912950495,0.0092469898655893
"FSTL1",254.967328464595,0.383865378129916,0.0661276591640242,2.7336125444486e-09,7.72649183133558e-08
"FSTL3",13.39844159285,0.265206241894547,0.232970455830686,0.122584159966198,0.291301845097306
"FSTL4",0.0630305354283345,0.0160256033542229,0.31002886752266,0.910986091726001,NA
"FSTL5",0.061084527084684,-0.0168229451230737,0.310107765253434,0.901388564855365,NA
"FTCD",0.0644362932764093,-0.0170474137057991,0.310126264296438,0.901388564855365,NA
"FTCDNL1",0.940732167753107,0.0714552402834166,0.309874467551802,0.385258961061509,0.604548152601947
"FTH1",593.84828103336,0.209785719589143,0.0659478987771769,0.00110719763618861,0.00745183743696682
"FTH1P16",0.122613217665038,-0.027946628510473,0.310988240198041,0.777266577802083,NA
"FTH1P2",0.562848798248634,-0.0188028374781869,0.302660213149211,0.786056342661025,0.896007385909626
"FTH1P20",0.179291759811264,0.014347866190989,0.308165773687404,0.86726690041617,NA
"FTH1P3",0.0579957183170887,0.0156848885687378,0.310002931210046,0.910986091726001,NA
"FTH1P7",0.243031224195068,-0.030131726419086,0.309343616112748,0.698432465571254,NA
"FTH1P8",0.188006575228038,-0.016384323785625,0.308270757176298,0.85104146285198,NA
"FTL",551.95710148159,0.575014934459554,0.0772189045039354,2.20573191973919e-14,1.57789420526497e-12
"FTLP12",0.245373768352254,-0.000213584392912147,0.307520036971157,0.993166540905852,NA
"FTLP2",0.0615453296608321,0.0159219993426226,0.31002086217451,0.910986091726001,NA
"FTLP3",0.120002130514189,-0.0275320528624871,0.310948030552953,0.778782538042508,NA
"FTO",30.4653126326142,-0.158293981520399,0.163877406253044,0.256264823957674,0.469745506126614
"FTO-IT1",0.547820395056562,0.0544168274408535,0.307745253638791,0.457382161314743,0.66601646717038
"FTSJ1",72.4284382453167,-0.0212457456701104,0.110050295982126,0.835772002416979,0.916397554676688
"FTSJ3",92.4672326621609,-0.0486338337332452,0.109785917495589,0.635035648438343,0.799584896482247
"FTX",1.23876371605838,0.0332563459837266,0.294161402130707,0.737104154506469,0.865791586337838
"FUBP1",94.758201062828,0.270459688950473,0.110671269532476,0.00875176177089509,0.039835011432103
"FUBP3",88.5271272565727,0.221732222310639,0.102774201942215,0.0218256723897858,0.0822865203546449
"FUCA1",45.0777971355126,-0.227624275103427,0.151777189630692,0.086013572716174,0.226464876144007
"FUCA2",80.3123126376199,0.358914108756127,0.108559950029461,0.000424122700850995,0.00331510529946634
"FUNDC1",12.8292738773007,0.528932517648308,0.276823570485673,0.0104571807673115,0.0458965068591869
"FUNDC2",31.5781167637578,0.524415595311747,0.168245760090214,0.000433322440809744,0.00337466264509407
"FUNDC2P1",0.060403759978725,0.0158586307688294,0.310016016796695,0.910986091726001,NA
"FURIN",58.321779532983,0.323442342722004,0.156073991809301,0.0178110653921706,0.0700430619191112
"FUS",251.262503512743,-0.0715509974047949,0.0657980063419491,0.266272872077707,0.482053613492802
"FUT1",3.84344149552639,-0.966608783780128,0.606127698458535,0.00626480207653211,0.0303677691994805
"FUT10",4.86175949846729,0.0599935338117918,0.250408934320179,0.692927767165171,0.837167682202336
"FUT11",20.3310343721522,0.291704217232261,0.222726040058544,0.0856466014863102,0.225842448335636
"FUT2",0.0615453296608321,0.0159219993426226,0.31002086217451,0.910986091726001,NA
"FUT4",12.5250996155632,0.283823045828535,0.263987219989464,0.116407590440657,0.281103974271
"FUT8",128.141227085604,0.129658991991274,0.10635266240984,0.194049203835602,0.394176646784322
"FUT8-AS1",1.15612357573209,0.245823826587538,0.430222000531989,0.0523376912148764,0.15790053884349
"FUZ",0.674765936855795,0.0536147998647677,0.305287546323912,0.501524309936759,0.70157708415539
"FXN",14.4276555251371,-0.0459176573593464,0.195420280065045,0.761825639257981,0.882391183149886
"FXR1",182.969540510374,-0.107213989917938,0.0743869758256402,0.137003388629147,0.313675978635155
"FXR2",78.1676873369755,-0.0375324351096329,0.116011384948718,0.726584621521298,0.859490400398276
"FXYD5",87.2370384318698,-0.495857389076129,0.112294247813724,2.80027450306733e-06,4.12549995260811e-05
"FXYD6P2",0.0630305354283345,0.0160256033542229,0.31002886752266,0.910986091726001,NA
"FYB1",0.558908505526042,-0.132925280370644,0.344208595087673,0.09108258261775,0.235697199621319
"FYCO1",29.6804992087914,-0.143630351538382,0.165602876008638,0.305862227600395,0.524173375480154
"FYN",47.8297122250191,-0.760650663527219,0.140850264599218,9.54793516073858e-09,2.3704158168288e-07
"FYTTD1",81.8994783836705,-0.1200253193919,0.101223418441378,0.208619390878155,0.413484705313773
"FZD1",24.0477293611167,0.167098375824088,0.189652306832923,0.272985142424669,0.489256627323666
"FZD2",34.011924524093,0.201384838358411,0.158745006720204,0.141302916859938,0.319843559867695
"FZD3",4.60957640761944,0.234690657625315,0.329633410431915,0.168172258965372,0.358014206154539
"FZD4",12.8429113482814,-0.0908025634503768,0.21902104561464,0.564308092692398,0.751561154844943
"FZD4-DT",0.435423121612812,-0.0512276343000395,0.310214593052879,0.456482872527211,0.665518363791642
"FZD5",7.67514193293777,-0.144974662486429,0.237324579732241,0.374583559495579,0.594513029037082
"FZD6",90.5512218084956,-0.143667503490099,0.112387742666422,0.168754333146623,0.358758063022186
"FZD7",40.8497520769712,0.798870688527231,0.171722818133454,4.23692554387691e-07,7.48092273510481e-06
"FZD8",9.69202084869791,-1.63241056342447,0.362099586943825,4.74332810758331e-07,8.29066844799008e-06
"FZR1",34.7668151333663,0.59923214064819,0.177511968319693,0.000140585238610173,0.00129686684219996
"G0S2",160.42887812403,-1.59185996624996,0.19423532393874,1.63139021626336e-17,1.95176150183646e-15
"G2E3",34.5344905517119,0.283259726536285,0.177173847062228,0.0567575528252602,0.167652491256506
"G3BP1",361.843633507085,0.00137268871347401,0.0614485058587682,0.981783293663184,0.995401719987439
"G3BP2",218.331400476565,0.356436227169687,0.069112705770623,1.19093057186458e-07,2.38495446988984e-06
"G6PC3",35.3419939245878,-0.015763006558189,0.148554636896302,0.903041179232808,0.952744829359352
"G6PD",59.3968351951819,0.910109396713128,0.131818968114159,5.94672065909109e-13,3.31440117698258e-11
"GAA",18.0748038923219,-0.0111240228391037,0.190430158178888,0.940160491308374,0.975225898675358
"GAB1",10.6452055756417,0.261341014322317,0.25645415067179,0.140257566437867,0.318783902231367
"GAB2",15.4491757013292,-0.64470378540335,0.250794161523913,0.00151736999752602,0.00964196924252112
"GAB3",0.977445408089831,0.0629710587765081,0.304828796943508,0.479784773476945,0.68397052761305
"GABARAP",82.8000254685834,0.110043171335506,0.109980509852791,0.283991368974274,0.501148564271325
"GABARAPL1",15.6240127052339,-0.703566741798856,0.261886332222734,0.000946913068428921,0.00654058633900411
"GABARAPL2",25.4693904952651,0.161330790535428,0.169671357904277,0.258744339446502,0.473103286276489
"GABBR1",0.303994965035913,0.0113476733241768,0.306746937224079,0.851575525208151,NA
"GABBR2",0.121192038377501,-0.000626090198084786,0.308616354104601,0.994368275992858,NA
"GABPA",35.2246806597333,0.0734970252178972,0.150596162927599,0.577232866442912,0.76126938330274
"GABPAP",1.34500719285038,0.224148266227366,0.392520103819074,0.091009192197825,0.235595144436004
"GABPB1",30.0123681675303,0.118961018038865,0.153013056968115,0.37183093991422,0.591570535839681
"GABPB1-AS1",6.24033547235436,-0.142114602866669,0.262122102877329,0.377857104772316,0.597527449866705
"GABPB1-IT1",6.45865569716776,-0.127974784104758,0.254521196957203,0.423467997995008,0.639070125725829
"GABPB2",10.9338734773981,0.447664828708906,0.287470372490269,0.0272301600817718,0.0973217001325853
"GABRE",10.5954000525373,0.044031897301506,0.206411962279764,0.776424349533247,0.891619124768093
"GABRG1",0.120002130514189,-0.0275320528624871,0.310948030552953,0.778782538042508,NA
"GABRQ",0.0663336488194686,-0.0171693781366814,0.310136516093951,0.901388564855365,NA
"GABRR2",0.928576819856388,-0.0233633775776247,0.294540881758662,0.806144161496114,0.904328340723462
